class,pattern,count,kind,examples
perfekt_frame,ist … weisheit,54,frame,442879;978662;659742
perfekt_frame,hat … geliebt,54,frame,1013895;644485;1252342
perfekt_frame,hat … funktioniert,53,frame,1476221;603944;94
perfekt_frame,ist … wissenschaft,53,frame,1101;424571;486924
perfekt_frame,hat … geglaubt,53,frame,1153201;1288886;352570
perfekt_frame,haben … gehabt,53,frame,651882;364488;860624
perfekt_frame,seid … gegangen,53,frame,829345;785329;781955
perfekt_frame,hatte … gehofft,52,frame,569540;360760;369835
perfekt_frame,bin … enttäuscht,52,frame,365799;1224659;812455
perfekt_frame,habe … erkannt,52,frame,397920;407454;1587419
perfekt_frame,ist … gestiegen,52,frame,427490;643760;725940
perfekt_frame,haben … gearbeitet,52,frame,1314095;601463;711601
perfekt_frame,bist … bereit,52,frame,601645;732024;682998
perfekt_frame,hat … gewarnt,51,frame,1235;969469;768595
perfekt_frame,ist … pflicht,51,frame,351612;373101;619332
perfekt_frame,hat … stadt,51,frame,363321;362279;413659
perfekt_frame,war … interessant,51,frame,367254;444558;403633
perfekt_frame,bist … geworden,51,frame,1080135;383312;1300154
perfekt_frame,ist … freiheit,51,frame,438948;759319;810914
perfekt_frame,hat … gewartet,51,frame,585197;660616;929656
perfekt_frame,haben … gedacht,51,frame,2458313;612811;1702922
perfekt_frame,hast … versucht,51,frame,749063;1652732;1695746
perfekt_frame,ist … breit,50,frame,355048;984;372825
perfekt_frame,ist … geschäft,50,frame,139177;452570;476771
perfekt_frame,war … bewusst,50,frame,588442;343536;782872
perfekt_frame,hat … geantwortet,50,frame,352307;370826;382528
perfekt_frame,ist … unbedingt,50,frame,360634;793524;622510
perfekt_frame,haben … besucht,50,frame,392740;363381;454155
perfekt_frame,habt … gesprochen,50,frame,419014;2355806;3014914
perfekt_frame,ist … bleibt,50,frame,1224466;585303;644170
perfekt_frame,habe … gewohnt,50,frame,687259;812575;731222
perfekt_frame,ist … gesehen,50,frame,815400;1137104;1018392
perfekt_frame,hatte … gefühl,50,frame,1989247;1238380;1863589
perfekt_frame,haben … genommen,49,frame,1245;904871;940127
perfekt_frame,war … bereit,49,frame,365335;720464;345046
perfekt_frame,hast … mitgebracht,49,frame,360649;633575;1931352
