lemma,pos,gloss,source
sie,pron,she,lemma
sieben,verb,to sift; to sieve,lemma
sieg,noun,victory,lemma
singen,verb,to sing,lemma
sinn,noun,sense,lemma
situation,noun,"situation, circumstances",lemma
sitzen,verb,to sit; to perch,lemma
sitzung,noun,meeting,lemma
ski,noun,ski,lemma
so,adv,"so, such, that",lemma
sobald,conj,"as soon as, by the time",lemma
socke,noun,sock,lemma
sofa,noun,"sofa, couch (upholstered seat with a raised back that accommodates at least two people)",lemma
sofort,adv,"immediately, at once",lemma
sogar,adv,"even, actually, in fact",lemma
sohn,noun,son,lemma
solange,adv,meanwhile,lemma
solch,pron,such,lemma
soldat,noun,soldier,lemma
soll,noun,debit,lemma
sollen,verb,should; to be obligated (to do something); ought; shall,lemma
sommer,noun,summer,lemma
sommerferien,noun,"summer holidays, summer vacation, summer break",lemma
sonderlich,adj,"real, particular",lemma
sondern,verb,"to separate, to sunder",lemma
sonn,noun,apocopic form of Sonne,lemma
sonnenbrille,noun,sunglasses,lemma
sonnenschein,noun,sunshine,lemma
sonnenuntergang,noun,sunset (time of day),lemma
sonntag,noun,"Sunday (the first day of the week in many religious traditions, and the seventh day of the week in systems using the ISO 8601 standard)",lemma
sonst,adv,otherwise (under different circumstances),lemma
sorgen,verb,"to take care of, to care for, to look after",lemma
sorgfältig,adj,"careful, meticulous, thorough, diligent",lemma
soviel,adv,"so much, so many, as much, as many",lemma
soweit,conj,as far as (in the scope in which something holds),lemma
sowie,conj,as well as,lemma
sowieso,adv,"anyway, anyhow, in any case",lemma
sowohl,conj,"both (only in combination with a contrasting second element, see derived terms)",lemma
spanien,name,"Spain (a country in Southern Europe, including most of the Iberian peninsula)",lemma
spanisch,adj,Spanish,lemma
sparen,verb,"to save up; to accumulate, to put aside (for a specific purpose)",lemma
spazieren,verb,"to take a walk, to stroll, to walk leisurely",lemma
spaziergang,noun,walk (trip made by walking),lemma
spaß,noun,fun,lemma
speisen,verb,"to dine, to eat in a cultured (typically upscale) setting (otherwise humorous)",lemma
spiegel,noun,"mirror (smooth surface, usually made of glass with reflective material painted on the underside, that reflects light)",lemma
spiel,noun,a game (instance or way of playing),lemma
spielen,verb,to play (engage in some activity for fun or entertainment),lemma
spielzeug,noun,toy,lemma
spinnen,verb,"to spin (a thread, a web, a cocoon, etc.)",lemma
spitz,adj,"pointed, pointy",lemma
sport,noun,sport (athletic activity that uses physical skills competitively under a set of rules),lemma
sprach,verb,"to speak (some language, the truth, etc.)",form-of
sprache,noun,"language (body of words, and set of methods of combining them)",lemma
sprechen,verb,"to speak (some language, the truth, etc.)",lemma
sprich,particle,"Used to introduce a (typically laconic) clarification or explanation; that is, meaning",lemma
springen,verb,to spring; to leap; to bounce,lemma
spur,noun,trace (rest of something that indicates its former presence; (by extension) any small amount),lemma
spuren,verb,to leave a trace,lemma
spät,adj,late,lemma
spätestens,adv,"at the latest, not later than",lemma
spüren,verb,"to sense, to detect, to perceive",lemma
staat,noun,"country, state (politically constituted legal person wielding absolute power of a population and territory)",lemma
stadt,noun,city (a large settlement),lemma
stahl,noun,steel,lemma
stammen,verb,"to descend, to originate, to be derived",lemma
stand,noun,"standing, state, status, position, situation",lemma
standen,verb,stand,form-of
stark,adj,"strong (intense, powerful, unyielding)",lemma
statt,conj,instead of,lemma
staub,noun,dust,lemma
stechen,verb,"to be sharp, to stick out",lemma
stecken,verb,to stick; to be stuck,lemma
stefan,name,"a male given name, feminine equivalent Stefanie or Stephanie, equivalent to English Stephen; variant form Steffen",lemma
stehen,verb,"to stand (to be upright, support oneself in an erect position)",lemma
stehlen,verb,to steal,lemma
steigen,verb,"to ascend, to climb, to rise",lemma
stein,noun,"stone, rock",lemma
stell,verb,"causative of stehen: to put, place, position (someone or something) such that it stands upright",form-of
stellen,verb,"causative of stehen: to put, place, position (someone or something) such that it stands upright",lemma
sterben,verb,to die,lemma
stern,noun,a star; a small luminous dot that can be seen on the night sky,lemma
stets,adv,always; constantly; the whole time (very often),lemma
steuer,noun,tax,lemma
steuern,verb,"to steer, to navigate, to pilot, to operate, to control",lemma
stich,noun,"sting, prick, stitch, stab",lemma
stiefel,noun,boot (shoe),lemma
stift,noun,"pin (short rod of metal, wood etc., used e.g. for fastening)",lemma
stil,noun,style,lemma
still,adj,"quiet, silent",lemma
stimm,verb,"to be right, to be correct, to be proper, to be true",form-of
stimmen,verb,"to be right, to be correct, to be proper, to be true",lemma
stimmt,intj,correct,lemma
stimmung,noun,mood (emotional state),lemma
stinken,verb,to stink,lemma
stirn,noun,"forehead, brow (often used as an indicator of emotion)",lemma
stock,noun,"stick (solid, wooden, broken off twig or small branch mostly clear of leaves or smaller twigs)",lemma
stoff,noun,"stuff, matter, substance",lemma
stolz,adj,proud,lemma
stoßen,verb,to push; to shove; to thrust,lemma
strafe,verb,and imperative,form-of
strand,noun,beach,lemma
straße,noun,"street; road (a way wide enough to be passable for vehicles, generally paved, in or outside a settlement)",lemma
straßen,name,a town in Luxembourg,lemma
streichen,verb,to stroke,lemma
streit,noun,"quarrel, dispute, fight, argument",lemma
streiten,verb,to argue; to fight; to quarrel,lemma
streng,adj,"strict, rigorous",lemma
stress,noun,stress (emotional pressure),lemma
strich,noun,stroke,lemma
strom,noun,a large river,lemma
student,noun,student (person attending lectures at a university; male or of unspecified sex),lemma
studieren,verb,to study at university or college level; to be a student (of),lemma
studium,noun,study (the act of studying in general),lemma
stuhl,noun,a chair (to sit on),lemma
stund,noun,apocopic form of Stunde,lemma
stundenlang,adj,lasting for hours,lemma
sturm,adj,"befuddled, dazed, numb; dizzy, giddy; muddled",lemma
ständig,adj,"permanent, constant (without breaks)",lemma
stärk,verb,to strengthen (to add to the power or effect of something),form-of
stören,verb,"to disturb, to interfere, to bother",lemma
stück,noun,"one, item, piece, unit(of something countable; often untranslated in English)",lemma
stürzen,verb,"to fall down, to drop, to tumble",lemma
suchen,verb,"to search, to look for",lemma
summe,noun,sum (maths),lemma
supermarkt,noun,supermarket,lemma
suppe,noun,soup,lemma
system,noun,system,lemma
sämtlich,adj,all,lemma
sänger,noun,"agent noun of singen; singer (person who sings, often regularly or professionally)",lemma
sängerin,noun,"female singer, singeress, songstress",lemma
süden,noun,south (direction),lemma
sünde,noun,sin,lemma
süß,adj,sweet,lemma
süßigkeit,noun,"sweet, candy (piece or kind of confectionery)",lemma
tafel,noun,"panel, board (e.g., wooden panel)",lemma
tag,noun,day (a 24-hour period),lemma
tagebuch,noun,"diary, journal",lemma
tal,noun,valley,lemma
talent,noun,talent,lemma
tante,noun,aunt,lemma
tanzen,verb,to dance,lemma
tasche,noun,bag,lemma
tasse,noun,"cup, mug (drinking vessel)",lemma
tat,noun,deed,lemma
taten,verb,to do (to perform or execute an action),form-of
tatsache,noun,fact (a true observation),lemma
tatsächlich,adj,"actual, real, factual",lemma
taub,adj,deaf (not hearing),lemma
tausend,noun,thousand (set or unit of one thousand items),lemma
taxi,noun,"taxi, cab",lemma
team,noun,team,lemma
technik,noun,technique,lemma
tee,noun,"tea (drink made by infusing parts of a plant, especially leaves or buds of Camellia sinensis, in water)",lemma
teich,noun,pond (natural or man-made),lemma
teil,noun,"part, piece (of a whole, often in relation to living things or an abstract concept)",lemma
teilen,verb,"to split, to share",lemma
teilnehmen,verb,to participate (in),lemma
telefon,noun,telephone,lemma
telefonnummer,noun,telephone number,lemma
teller,noun,"plate, dish",lemma
tempel,noun,temple (edifice dedicated to one or multiple deities),lemma
temperatur,noun,temperature,lemma
tennis,noun,tennis,lemma
teppich,noun,"rug, carpet (cloth covering for a floor)",lemma
termin,noun,date (day on which a certain event takes place),lemma
test,noun,test,lemma
teuer,adj,"expensive, dear (high in price)",lemma
teufel,noun,"the Devil, Satan (supreme evil spirit in the Abrahamic religions)",lemma
text,noun,text (writing consisting of several sentences and forming a discrete unit),lemma
theater,noun,theater (a place or building consisting of a stage and seats),lemma
thema,noun,"topic, subject, issue",lemma
theorie,noun,theory,lemma
thomas,name,Thomas (biblical figure),lemma
tief,adj,"deep (having a long distance to the bottom; of bodies of water, wells, etc.)",lemma
tier,noun,animal (see usage notes below),lemma
tiger,noun,tiger,lemma
tisch,noun,table (a piece of furniture with a relatively deep surface at roughly waist or knee level); specific uses include:,lemma
titel,noun,title,lemma
tochter,noun,daughter,lemma
tod,noun,death,lemma
toilette,noun,toilet,lemma
tokio,name,"Tokyo (a prefecture, the capital and largest city of Japan)",lemma
tokyo,name,alternative spelling of Tokio,lemma
toll,adj,"great, nice, wonderful",lemma
tom,name,a male given name from English,lemma
tomate,noun,"tomato (plant, fruit of this plant)",lemma
ton,noun,clay,lemma
tor,noun,"gate, archway (passageway covered by an arch, particularly one made of masonry)",lemma
tot,adj,"dead, deceased",lemma
total,adj,"total, absolute, complete, utter (not used in the sense of “entire”)",lemma
tourist,noun,tourist (male or of unspecified gender),lemma
tragen,verb,"to carry, to bear (something on one's person)",lemma
trank,noun,"a drink, generally mixed of several ingredients, and often for medical or magical effect; a potion",lemma
trauen,verb,to trust,lemma
traum,noun,dream,lemma
traurig,adj,sad,lemma
treffen,verb,to meet; to encounter,lemma
treiben,verb,to drive (e.g. livestock); to propel; to force,lemma
trennen,verb,"to separate, sever, part, disunite, uncouple, segregate, unjoin, disjoin",lemma
treppe,noun,stairs,lemma
treten,verb,"to step, to walk (a short distance)",lemma
treu,adj,loyal; faithful; true,lemma
trinken,verb,"to drink (to drink liquids (in bottles, glasses, etc.) by mouth)",lemma
tritt,noun,step,lemma
trocken,adj,dry (not wet; lacking water),lemma
tropfen,verb,"to drop, drip",lemma
trotz,prep,"in spite of, despite",lemma
trotzdem,adv,"anyhow, nevertheless",lemma
trug,noun,"a deception, delusion, illusion",lemma
tränen,verb,"to water (due to irritation, pain, etc.)",lemma
träum,verb,to dream,form-of
träumen,verb,to dream,lemma
tugend,noun,virtue,lemma
tun,verb,to do (to perform or execute an action),lemma
turm,noun,"tower, spire (very tall building or structure, especially with a tapering top)",lemma
typ,noun,type,lemma
täglich,adj,daily,lemma
töten,verb,to kill,lemma
tür,noun,door (rigid plane on a hinge),lemma
türkei,name,Turkey (a country located in Eastern Thrace in Southeastern Europe and Anatolia in West Asia),lemma
türkisch,adj,"Turkish, Turkic",lemma
ufer,noun,"shore, shoreline",lemma
uhr,noun,"hours, o'clock (indicates the time within a twelve- or twenty-four-hour period)",lemma
ukraine,name,"Ukraine (a country in Eastern Europe, bordering on the north shore of the Black Sea)",lemma
um,adj,"up, in the sense of finished",lemma
umbringen,verb,"to kill, to murder, to do away with",lemma
umgang,noun,"dealings, (social) intercourse",lemma
umgeben,verb,to surround (to encircle or simultaneously extend on all sides of something),lemma
umgebung,noun,"environment (area around something), vicinity, surroundings",lemma
umgehen,verb,"to avoid, bypass, to go around (a physical obstacle)",lemma
ums,contraction,contraction of um + das,lemma
umsonst,adv,"free of charge, gratis",lemma
umstand,noun,circumstance (an event; a fact; a particular incident),lemma
umwelt,noun,environment; milieu; surroundings,lemma
unbedingt,adj,absolute,lemma
und,conj,and,lemma
unendlich,adj,infinite,lemma
unerträglich,adj,"unbearable, intolerable",lemma
unfall,noun,accident,lemma
ungarisch,adj,"Hungarian (related to Hungary, its language or its people)",lemma
ungarn,name,Hungary (a country in Central Europe),lemma
ungeduldig,adj,impatient,lemma
ungefähr,adj,approximate,lemma
ungewöhnlich,adj,"uncommon, unusual, unordinary",lemma
unglaublich,adj,"unbelievable, incredible",lemma
unglück,noun,unhappiness; sorrow,lemma
unglücklich,adj,"unhappy, unjoyous, unjoyful, misfortunate, miserable",lemma
unhöflich,adj,rude,lemma
union,noun,union,lemma
universität,noun,university,lemma
universum,noun,universe,lemma
unmöglich,adj,impossible,lemma
unrecht,adj,"wrong, unethical",lemma
unschuld,noun,innocence,lemma
unschuldig,adj,innocent,lemma
unser,det,our,lemma
unsinn,noun,nonsense,lemma
unten,adv,below,lemma
unter,prep,under,lemma
unterhalten,verb,to maintain,lemma
unterhaltung,noun,conversation,lemma
unternehmen,verb,to undertake,lemma
unterricht,noun,"lesson, class, instruction, education",lemma
unterrichten,verb,"to teach, to school",lemma
unterscheiden,verb,"to distinguish, differentiate",lemma
unterschied,noun,difference,lemma
unterschreiben,verb,to sign (write one’s signature),lemma
unterstützen,verb,"to support, to assist, to help, to aid",lemma
unterstützung,noun,"support, assistance, backing, also endorsement",lemma
untersuchen,verb,"to examine, investigate (inspect or study carefully in order to reach a conclusion)",lemma
untersuchung,noun,"examination, investigation",lemma
unterwegs,adv,"on one’s way, underway, en route, in transit, going, travelling",lemma
unwahrscheinlich,adj,"unlikely, improbable",lemma
unwissenheit,noun,ignorance,lemma
urlaub,noun,"holiday, vacation",lemma
ursache,noun,cause (source or reason of an event or action),lemma
urteil,noun,"judgment (the preferred spelling in a legal context), verdict, sentence (court decision)",lemma
us,name,synonym of USA,lemma
usa,name,initialism of the United States of America: a country in North America: USA,lemma
vase,noun,vase,lemma
vater,noun,father,lemma
vegetarier,noun,vegetarian (person),lemma
verabschieden,verb,to say goodbye (to); to take leave (of),lemma
verantwortlich,adj,responsible,lemma
verantwortung,noun,responsibility,lemma
verbergen,verb,"to hide, conceal from view, keep secret",lemma
verbessern,verb,"to improve (to make better), to enhance",lemma
verbessert,adj,improved,lemma
verbindung,noun,connection,lemma
verbot,noun,"prohibition, ban",lemma
verbracht,verb,"to spend, to pass (a period of time)",form-of
verbrechen,verb,to do (something wrong); to be at fault for,lemma
verbreiten,verb,"to put about, spread, circulate, disseminate sth.",lemma
verbrennen,verb,"to burn (to cause to be consumed by fire or flames), to incinerate, to combust",lemma
verbringen,verb,"to spend, to pass (a period of time)",lemma
verbund,noun,compound,lemma
verdacht,noun,suspicion,lemma
verdammt,adj,damned,lemma
verdienen,verb,"to make money, to earn",lemma
vereinigt,adj,united,lemma
verfassung,noun,constitution,lemma
verfolgen,verb,"to pursue, to follow, to hunt",lemma
verfügen,verb,"to decree, to order",lemma
verfügung,noun,"disposal, disposition (control over something)",lemma
vergangen,adj,"past, bygone",lemma
vergangenheit,noun,the past (time),lemma
vergeben,verb,to forgive,lemma
vergeblich,adj,"unavailing, in vain, futile, useless",lemma
vergehen,verb,"to pass, to elapse",lemma
vergessen,verb,to forget (lose remembrance of),lemma
vergleich,noun,comparison,lemma
vergleichen,verb,to compare,lemma
vergnügen,verb,to please,lemma
verhaften,verb,"to stop moving and instead stick, or make or become bound (more or less literally or figuratively)",lemma
verhalten,verb,to behave,lemma
verheiratet,adj,married (in a state of marriage; having a wife or a husband),lemma
verhindern,verb,"to prevent, to inhibit, to keep (something) from happening.",lemma
verirren,verb,to get lost,lemma
verkauf,noun,sale,lemma
verkaufen,verb,to sell (something in exchange for money),lemma
verkehren,verb,"to interact in someone’s sphere, to have exchange, to operate",lemma
verlangen,verb,"to ask for, demand",lemma
verlassen,verb,"to leave, to abandon; to depart, to forsake",lemma
verlauf,noun,"course (of a border, etc.)",lemma
verletzen,verb,"to hurt, to injure (cause bodily harm to someone)",lemma
verletzt,adj,"hurt, injured",lemma
verlieben,verb,to fall in love,lemma
verlieren,verb,"to lose (something, or a game)",lemma
verloren,adj,"lost, missing",lemma
verlust,noun,"loss (all senses, except defeat, for which Niederlage is used)",lemma
vermeiden,verb,"to avoid (something happening, doing something)",lemma
vermissen,verb,to miss (to feel the absence of someone or something),lemma
vermuten,verb,"to assume, suppose, presume, suspect, (US) guess",lemma
vermutlich,adj,"suspected, presumable, assumed",lemma
vermögen,verb,to be able to; may,lemma
vernunft,noun,"reason, good sense",lemma
vernünftig,adj,"reasonable, sensible",lemma
verpassen,verb,to miss (be late for; be unable to use or attend),lemma
verpflichtet,adj,"committed, bound, obliged, indebted, beholden",lemma
verrat,noun,"treason, betrayal, treachery, backstabbing, bewrayment",lemma
verrückt,adj,"crazy, mad",lemma
versammlung,noun,"gathering, meeting, assembly, congregation",lemma
verschieben,verb,"to move, to shift",lemma
verschieden,adj,different,lemma
verschwinden,verb,"to disappear, to vanish, to move out of view",lemma
verschwunden,adj,disappeared,lemma
versehen,verb,to perform (a service or duty),lemma
versprechen,verb,to promise,lemma
verspäten,verb,"to be late, to be delayed",lemma
verspätung,noun,"delay, lateness, late arrival",lemma
verstand,noun,intellect,lemma
verstecken,verb,to conceal,lemma
verstehen,verb,to understand,lemma
verständlich,adj,"understandable, comprehensible",lemma
verständnis,noun,"understanding, comprehension",lemma
versuch,noun,attempt,lemma
versuchen,verb,"to try, to attempt (often with an uncertain result)",lemma
verteidigen,verb,to defend (from attack),lemma
vertrag,noun,"contract, agreement",lemma
vertrauen,verb,"to trust, to place confidence in",lemma
verursachen,verb,"to cause, to induce",lemma
verurteilen,verb,"to convict, condemn, sentence",lemma
verwandeln,verb,"to turn, to change, to transform",lemma
verwandt,verb,"to use, to utilize",form-of
verwechseln,verb,to mix up; to confuse or mistake something for something else,lemma
verwenden,verb,"to use, to employ, to apply",lemma
verwirren,verb,to confuse,lemma
verzeihen,verb,to forgive; to pardon; to excuse,lemma
verzeihung,noun,forgiveness,lemma
verzichten,verb,"to give up, to go without, to live without, to make do without, to do without, to forgo, to dispense with",lemma
verzweifelt,adj,desperate,lemma
verändern,verb,"to alter, to change",lemma
verändert,adj,"changed, altered",lemma
veränderung,noun,change (process of becoming different),lemma
verärgert,adj,"upset, annoyed, angry",lemma
veröffentlichen,verb,to publish,lemma
video,noun,video,lemma
viel,adv,"much, a lot",lemma
vieles,pron,"much, many things",lemma
vielleicht,adv,"perhaps, maybe",lemma
vier,noun,four (digit or figure 4),lemma
viertel,noun,"quarter, fourth",lemma
vierzig,noun,forty (number),lemma
virus,noun,virus,lemma
vogel,noun,a bird,lemma
volk,noun,"people, nation, folk, tribe, race (group united by culture, history, descent, and/or language)",lemma
voll,adj,full; filled,lemma
vollkommen,adj,perfect (fitting its definition precisely),lemma
vollständig,adj,complete,lemma
vom,contraction,"contraction of von + dem, literally “from the, of the”",lemma
von,prep,from,lemma
voneinander,adv,"from / of one another, from / of each other",lemma
vor,prep,"in front of, ahead of (relative location in space)",lemma
voran,adv,"forth, ahead, forwards",lemma
voraus,adv,"in front, ahead",lemma
vorbei,adj,"over, past, up (of time)",lemma
vorbereiten,verb,to prepare,lemma
vorfahren,verb,to drive up,lemma
vorfall,noun,incident (event or occurrence),lemma
vorgestellt,adj,"envisaged, imagined",lemma
vorgestern,adv,"ereyesterday, the day before yesterday",lemma
vorhaben,verb,"to intend, to have (something) planned, to have (something) to do",lemma
vorher,adv,"beforehand, previously, before (a previously mentioned point or action)",lemma
vorne,adv,at the front,lemma
vorschlag,noun,"suggestion, proposal (something proposed)",lemma
vorschlagen,verb,"to propose, to suggest",lemma
vorsicht,noun,"caution, cautiousness",lemma
vorsichtig,adj,"deliberate (not hasty or sudden); careful, cautious, wary, circumspect",lemma
vorstellen,verb,"to introduce (someone), to present",lemma
vorstellung,noun,"idea, image, representation (the transcript, image, or picture of a visible object that is formed by the mind)",lemma
vorteil,noun,"advantage, plus, benefit, perk (of a job)",lemma
vortrag,noun,"talk, lecture",lemma
vorüber,adv,"gone, over, past",lemma
vögel,verb,to mate,form-of
völlig,adj,"complete, total, utter",lemma
wach,adj,awake,lemma
wachsen,verb,to grow,lemma
waffe,noun,"weapon, arm",lemma
wagen,verb,"to dare (to do something, despite possible risks)",lemma
wahl,noun,"choice, selection",lemma
wahnsinn,noun,"insanity, madness",lemma
wahnsinnig,adj,"mad, insane",lemma
wahr,adj,"true, real",lemma
wahrheit,noun,truth,lemma
wahrscheinlich,adj,"likely, probable, plausible",lemma
wald,noun,forest; woods; woodland,lemma
wand,noun,"wall, partition",lemma
wandern,verb,"to hike, to go trekking",lemma
wann,adv,when,lemma
warm,adj,warm; mildly hot,lemma
warnen,verb,"to warn, to caution, to admonish",lemma
warten,verb,to wait (for),lemma
warum,adv,why; for what reason,lemma
was,adv,"clipping of etwas: a bit, somewhat",lemma
waschen,verb,to wash,lemma
waschmaschine,noun,washing machine,lemma
wasser,noun,water (H₂O),lemma
website,noun,website,lemma
wechseln,verb,"to change, to exchange",lemma
weck,noun,bread roll,lemma
wecken,verb,"to wake, to wake up",lemma
weder,conj,neither (only with noch),lemma
weg,adj,unconscious; passed out,lemma
wegen,prep,"for, because of",lemma
weggehen,verb,"to go away, leave, scram",lemma
weh,adj,"sore, painful",lemma
wehen,verb,"to blow (of wind, a storm, etc.)",lemma
weigern,verb,to refuse,lemma
weihnachten,verb,to be nearly Christmas; to have a Christmassy atmosphere,lemma
weihnachtsmann,noun,"Santa Claus, Father Christmas",lemma
weil,conj,"because, given that",lemma
wein,noun,wine,lemma
weinen,verb,"to weep, cry",lemma
weis,adv,alternative form of weise,lemma
weisheit,noun,wisdom,lemma
weit,adj,wide,lemma
weiterhin,adv,still,lemma
weitermachen,verb,"go on, keep going, continue to do something",lemma
weiß,adj,white,lemma
weißt,verb,Switzerland and Liechtenstein standard spelling of weißt,lemma
welch,det,what,lemma
welcher,pron,which (one),lemma
wellen,verb,to wave,lemma
welt,noun,world,lemma
weltkrieg,noun,world war,lemma
wenden,verb,to turn something so as to cook or roast it from both sides,lemma
wenig,adj,"little, few (a small amount, a small number)",lemma
wenigstens,adv,at least,lemma
wenn,conj,"when, whenever",lemma
wer,pron,who (what person or people),lemma
werbung,noun,"promotion, solicitation, recruitment",lemma
werden,verb,"will, to be going to, forms the future tense",lemma
werfen,verb,to throw,lemma
werk,noun,"work, achievement (the result of working)",lemma
werkzeug,noun,tool,lemma
wert,adj,"worth, worthy of",lemma
wesen,noun,"creature, being",lemma
weshalb,adv,why,lemma
wessen,adv,"clipping of etwas: a bit, somewhat",form-of
west,noun,the west (used without article; a short form of Westen),lemma
wett,verb,to bet,form-of
wettbewerb,noun,competition (contest for a prize or award),lemma
wichtig,adj,"important, relevant, significant, weighty",lemma
widerstehen,verb,"to withstand, to resist",lemma
wie,adv,how,lemma
wieder,adv,again; indicates that the action taking place has happened before,lemma
wiederholen,verb,to repeat (to do or say again),lemma
wiederkommen,verb,"to return, to come back, to come again",lemma
wiedersehen,verb,"to see again, to meet again",lemma
wiegen,verb,to weigh; to be of a certain weight,lemma
wies,name,"a municipality of Styria, Austria",lemma
wieso,adv,why,lemma
wieviel,adv,how much; how many,curated-phrase
wilhelm,name,"a male given name from Old High German, feminine equivalent Wilhelmina, Wilhelmine, or Minna, equivalent to English William; diminutive forms Willi, Willy",lemma
wille,noun,will,lemma
willen,noun,alternative form of Wille (“will”),lemma
willkommen,adj,welcome (received with gladness),lemma
wind,noun,wind; the movement of air usually caused by convection or differences of air pressure,lemma
winter,noun,winter,lemma
wir,pron,we,lemma
wirken,verb,"to function, to be effective, to work",lemma
wirklich,adj,real,lemma
wirklichkeit,noun,reality,lemma
wirkung,noun,effect,lemma
wirtschaft,noun,economy,lemma
wissen,verb,to know; to be aware of (a fact),lemma
wissenschaft,noun,science (a branch of knowledge or academic discipline dealing with a systematic body of facts or truths),lemma
wissenschaftler,noun,scientist,lemma
witz,noun,joke,lemma
wo,adv,where (at what place),lemma
woanders,adv,"elsewhere, somewhere else",lemma
woche,noun,"week (period of seven days counting from Monday to Sunday, or from Sunday to Saturday)",lemma
wochenende,noun,"weekend (break in the working week, usually Saturday and Sunday)",lemma
wofür,adv,"for what, wherefore, why",lemma
woher,adv,"where from, whence",lemma
wohin,adv,"where to, whither",lemma
wohl,adv,"possibly, probably; as I was told (modal particle expressing an assumption, often like English must + infinitive, or (US) guess + clause)",lemma
wohnen,verb,"to live, reside, dwell (to remain or be settled permanently, or for a considerable time)",lemma
wohnung,noun,domicile; dwelling; lodging; abode; accommodation (any place someone lives in for a span of time longer than a holiday),lemma
wohnzimmer,noun,living room,lemma
wolf,noun,wolf,lemma
wolken,name,a surname transferred from the given name,lemma
wollen,verb,to want; to wish; to desire; to demand,lemma
womit,adv,"with what, what…with",lemma
wonach,adv,after what,lemma
woran,adv,"on what, at what",lemma
worauf,adv,whereupon; upon which; on which; to which; at which; above which; upon.,lemma
worin,adv,"in what, wherein",lemma
wort,noun,word as an isolated unit,lemma
worum,adv,about what,lemma
worüber,adv,generally corresponding to über was; mainly:,lemma
wovon,adv,"about what, what ... about",lemma
wozu,adv,"for what reason, to what purpose, what for, why?",lemma
wuchs,noun,growth; growing,lemma
wund,adj,"wounded, injured, sore",lemma
wunde,noun,"sore, wound",lemma
wunderbar,adj,wonderful,lemma
wunderschön,adj,"gorgeous, very beautiful",lemma
wunsch,noun,wish (an act of wishing),lemma
wut,noun,rage; fury; outrage,lemma
wählen,verb,"to choose, to select",lemma
während,conj,while (at the same time as),lemma
wände,verb,subjunctive II,form-of
wär,verb,alternative form of wäre,lemma
wärm,verb,to warm,form-of
wäsche,noun,"wash, washing, laundry (the act of cleaning with water; an instance thereof)",lemma
wörterbuch,noun,"dictionary (reference work with a list of words from one or more languages, and their definitions or translations)",lemma
wünsch,verb,to wish for; to make a wish for; to want; to desire,form-of
wünschen,verb,to wish for; to make a wish for; to want; to desire,lemma
wüst,adj,"desert, desolate",lemma
wütend,adj,"furious, angry",lemma
yen,noun,yen (unit of Japanese currency),lemma
zahl,noun,"number, numeral, figure",lemma
zahlen,verb,to pay,lemma
zahlreich,adj,numerous,lemma
zahn,noun,tooth,lemma
zahnarzt,noun,dentist,lemma
zaun,noun,fence,lemma
zehn,noun,ten (number),lemma
zeichen,noun,"sign, token (object representing something)",lemma
zeichnen,verb,"to draw, to sketch",lemma
zeigen,verb,"to show, make see",lemma
zeit,prep,"for the entire time of, during",lemma
zeitlang,noun,while,lemma
zeitpunkt,noun,"moment (instant of time), point in time, a timepoint",lemma
zeitschrift,noun,magazine (published in regular intervals),lemma
zeitung,noun,newspaper,lemma
zelt,noun,"tent, marquee",lemma
zentrum,noun,"center, centre",lemma
zerbrochen,adj,broken,lemma
zerstören,verb,"to destroy, demolish, devastate, eliminate",lemma
zeug,noun,"stuff, gear, equipment",lemma
ziehen,verb,to pull; to drag,lemma
ziel,noun,target,lemma
ziemlich,adj,"considerable, sizable",lemma
zigarette,noun,cigarette,lemma
zimmer,noun,"room (separate part of a building, enclosed by walls, a floor and a ceiling)",lemma
zoo,noun,zoo,lemma
zu,adj,"shut, closed (made inaccessible or impassable; not open)",lemma
zubereiten,verb,to prepare,lemma
zuck,verb,"to jerk, twitch",form-of
zuerst,adv,"first, firstly",lemma
zufall,noun,"chance, coincidence, randomness",lemma
zufolge,prep,according to,lemma
zufrieden,adj,"satisfied, content, happy (with something)",lemma
zufällig,adj,"random, by chance or stochastic",lemma
zug,noun,procession (larger group moving together along a common route),lemma
zugeben,verb,"to admit, confess (to own up to something)",lemma
zugleich,adv,"at the same time, simultaneously",lemma
zuhaus,adv,alternative form of zu Hause,lemma
zuhören,verb,to listen,lemma
zukunft,noun,future,lemma
zulassen,verb,to allow,lemma
zuletzt,adv,finally; lastly; in the end,lemma
zum,contraction,"contraction of zu + dem, literally “to the; for the”",lemma
zumindest,adv,at least,lemma
zumute,adv,Mainly used in set phrases.,lemma
zunehmen,verb,to increase,lemma
zunge,noun,tongue (organ in the mouth),lemma
zunächst,adv,"first, first of all, in the first place, to begin with, initially",lemma
zur,contraction,"contraction of zu + der, literally “to the (feminine)”",lemma
zurecht,adv,only used in zurechtweisen etc.,lemma
zurzeit,adv,currently,lemma
zurück,adv,"back, backward, backwards, to the rear.",lemma
zurückkehren,verb,to return,lemma
zurückkommen,verb,to return (to come back),lemma
zusammen,adj,"together, in the same place",lemma
zusammenhang,noun,"coherence, cohesion",lemma
zustand,verb,dependent preterite,form-of
zustimmen,verb,to agree,lemma
zuviel,adv,alternative spelling of zu viel,lemma
zuvor,adv,"before, previously",lemma
zwang,noun,"compulsion, obligation, duress",lemma
zwanzig,noun,twenty (number),lemma
