lemma,pos,gloss,source
beschützen,verb,"to protect, to guard, to defend",lemma
besetzt,adj,occupied,lemma
besitz,noun,ownership,lemma
besitzen,verb,"to own, to possess",lemma
besondere,adj,"special, particular, extraordinary",lemma
besonders,adv,"especially, particularly",lemma
besorgen,verb,"to deal, to manage, to procure",lemma
besprechen,verb,to discuss (to converse or debate concerning a particular topic),lemma
besprechung,noun,"meeting, discussion, (gathering among business people to discuss their business)",lemma
bess,adj,better,form-fallback
bessern,verb,"to improve, to better",lemma
best,adj,"good (acting in the interest of what is beneficial, ethical, or moral)",form-of
bestand,noun,"stock, inventory",lemma
bestanden,adj,covered in plants; overgrown,lemma
bestehen,verb,"to succeed, to pass (an exam)",lemma
bestellen,verb,"to order (e.g. food at a restaurant, items for delivery)",lemma
bestimmen,verb,to determine,lemma
bestimmt,verb,to determine,form-of
bestrafen,verb,to punish,lemma
besuch,noun,"visit, call",lemma
besuchen,verb,"to visit, to see",lemma
besucht,verb,"to visit, to see",form-of
beten,verb,to pray,lemma
betrachten,verb,"to look at, to consider, to behold",lemma
betrachtet,adj,"considered, regarded",lemma
betragen,verb,"to amount to, to be (a numerical value)",lemma
betreffen,verb,"to concern, to have to do with or affect a business of",lemma
betreten,verb,"to enter, to go or come into",lemma
betrunken,adj,"drunk, inebriated",lemma
betrügen,verb,to deceive (usually deliberately),lemma
bett,noun,"bed (piece of furniture, usually flat and soft, for resting or sleeping on; one's place of sleep or rest)",lemma
beurteilen,verb,"to form an opinion on, to judge",lemma
bevor,conj,before,lemma
bevölkerung,noun,population,lemma
bewahren,verb,"to keep, to preserve (to maintain the condition of)",lemma
bewegen,verb,to motivate; to persuade; to prompt (someone or something to do something); to make (someone or something to do something); to induce; to get (someone or something to do something),lemma
bewegung,noun,motion,lemma
beweis,noun,proof,lemma
beweisen,verb,to prove,lemma
bewundern,verb,"to admire, to highly respect (something of high quality)",lemma
bewusst,adj,"conscious, aware",lemma
bewusstsein,noun,"consciousness, awareness",lemma
bezahlen,verb,"to pay, give money",lemma
bezeichnen,verb,"to name (give a name to), to call, to designate, to denote",lemma
beziehung,noun,"relation, relationship, connection",lemma
bezug,noun,reference,lemma
bezweifeln,verb,"to doubt, to question (Used with either a noun or dass.)",lemma
bibel,noun,"Bible, bible",lemma
bibliothek,noun,library,lemma
biene,noun,bee,lemma
bier,noun,beer (alcoholic beverage fermented from starch material; a serving of this beverage),lemma
bieten,verb,to offer; to present,lemma
bild,noun,"depiction, image, picture",lemma
bilden,verb,"to form, to train",lemma
bildung,noun,"cultivation, refinement, education, culture",lemma
billig,adj,"appropriate, meet, fair",lemma
bis,conj,until,lemma
bisher,adv,"so far, until now, as yet",lemma
bisschen,adv,(a) bit; (a) little,lemma
bitt,verb,"to ask, to beg, to plead, to bid, to request",form-of
bitten,verb,"to ask, to beg, to plead, to bid, to request",lemma
bißchen,adv,(a) bit; (a) little,lemma
blatt,noun,leaf (green and flat organ of a plant),lemma
blau,adj,blue (color/colour),lemma
bleiben,verb,to remain (to continue to be),lemma
bleistift,noun,pencil (writing utensil with a graphite shaft),lemma
blick,noun,"glance, look",lemma
blicken,verb,to look (usually in a certain direction toward something),lemma
blind,adj,blind,lemma
blitz,noun,a bolt of lightning,lemma
bloß,adj,"mere, sole",lemma
blume,noun,"flower, blossom (colorful, conspicuous reproductive structure(s) of an angiosperm)",lemma
blut,noun,blood,lemma
blätter,verb,to browse,form-of
blöd,adj,"stupid, dim-witted",lemma
blühen,verb,to blossom or bloom,lemma
boden,noun,"ground, soil",lemma
boot,noun,boat,lemma
bord,noun,shelf (board fixed to the wall),lemma
bot,noun,bot,lemma
botschaft,noun,message,lemma
brach,adj,fallow,lemma
bracht,verb,to break,form-of
brand,noun,"fire, blaze (destructive occurrence)",lemma
brasilien,name,Brazil (a large Portuguese-speaking country in South America),lemma
brauchen,verb,"to need, to be in need of, to require",lemma
braun,adj,brown,lemma
braut,noun,bride; a woman taking part in a marriage,lemma
brechen,verb,to break,lemma
breit,adj,"broad, wide",lemma
brennen,verb,to burn; to light on fire,lemma
brief,noun,letter (written message),lemma
briefmarke,noun,postage stamp,lemma
brille,noun,"glasses, spectacles (frames bearing two lenses worn in front of the eyes to correct vision)",lemma
bringen,verb,"to bring, to fetch, to take, to convey, to bear",lemma
brot,noun,bread,lemma
bruder,noun,brother,lemma
brunnen,noun,well,lemma
brust,noun,chest,lemma
brötchen,noun,"a bun, bread roll",lemma
brücke,noun,bridge,lemma
brüder,noun,brethren,lemma
buch,noun,book (collection of sheets of paper bound together to hinge at one edge; long work fit for publication),lemma
buchstabe,noun,letter (of the alphabet),lemma
bus,noun,bus (public transport),lemma
bushaltestelle,noun,bus stop,lemma
butter,noun,butter,lemma
bär,noun,bear (animal),lemma
bäumen,verb,to rear up,lemma
bös,adj,alternative form of böse,lemma
böse,adj,evil; malicious; wicked,lemma
bühne,noun,a stage,lemma
bürger,noun,"citizen, inhabitant, resident; legally recognized inhabitant of a city or state",lemma
bürgermeister,noun,"mayor (leader of a city, male or unspecified sex)",lemma
büro,noun,office (room for working),lemma
chance,noun,chance,lemma
charakter,noun,character; the totality of someone's personal qualities,lemma
chef,noun,"boss, chief",lemma
chicago,name,"Chicago (a large city, the county seat of Cook County, in northeastern Illinois, United States, located on Lake Michigan)",lemma
china,name,China (a country in East Asia),lemma
chinesisch,adj,Chinese,lemma
computer,noun,"computer (programmable electronic device that performs mathematical calculations, logical operations, and usually also data retrieval/storage)",lemma
cousin,noun,male cousin,lemma
da,adv,there,lemma
dabei,adv,"with one, on one",lemma
dach,noun,roof,lemma
dadurch,adv,"through it, through that",lemma
dafür,adv,"for that, for it",lemma
dagegen,adv,"against it, against that",lemma
daheim,adv,"home, at home (adverb)",lemma
daher,adv,"from there, thence",lemma
dahin,adv,there (to or into that place; thither),lemma
damals,adv,"at that time (in the past); at the time, then",lemma
dame,noun,lady (woman of good breeding and manners),lemma
damit,adv,"therefore, as a result",lemma
danach,adv,"after it, after that; thereafter (formal), afterwards",lemma
daneben,adv,"next to it, next to that",lemma
dank,prep,"thanks to, because of, courtesy of",lemma
dankbar,adj,"grateful, thankful",lemma
dann,adv,"then, after that",lemma
dar,adv,only used in darstellen etc.,lemma
daran,adv,"on it, on that",lemma
darauf,adv,after (behind; later in time; following),lemma
daraus,adv,"out of it, out of that, of it",lemma
darin,adv,"in it, in that, therein",lemma
darum,adv,"around it, around that",lemma
darüber,adv,"above, above it/this/that",lemma
das,pron,"who, that, which",lemma
dasein,noun,"being there, presence, existence",lemma
dass,conj,that,lemma
daten,verb,to date,lemma
dauern,verb,"to last, to continue, to persist (for a period of time)",lemma
david,name,David,lemma
davon,adv,"from it, from that, therefrom, off it, off that",lemma
davor,adv,in front of that/it,lemma
dazu,adv,"in addition to it, in addition, besides",lemma
daß,conj,that,lemma
deck,noun,deck (of a ship or boat),lemma
dein,pron,alternative letter-case form of dein (“your (singular)”),lemma
demokratie,noun,democracy,lemma
den,pron,that; whom; accusative masculine singular of der,lemma
denk,verb,to think,form-of
denken,verb,to think,lemma
denn,adv,"so, then, ever, but, now; used for emphasis or to express interest, surprise or doubt, or in rhetorical questions",lemma
dennoch,adv,"anyhow, however",lemma
der,pron,who; that; which,lemma
derart,adv,"so, thus, in such a manner",lemma
derjenige,pron,he (who),lemma
derselbe,pron,the same,lemma
derzeit,adv,"currently, at present (implying that this state is likely temporary)",lemma
des,article,alternative form of das,lemma
deshalb,adv,"therefore; for that (reason), because of that",lemma
dessen,pron,"whose, of which",lemma
desto,conj,the (forming the parallel comparative with je),lemma
deswegen,adv,"therefore, because of that",lemma
detail,noun,detail,lemma
deutlich,adj,"articulate, clear",lemma
deutsch,adj,German (of or pertaining to the German people),lemma
deutschland,name,"Germany (a nation or civilization occupying the country around the Rhine, Elbe, and upper Danube Rivers in Central Europe, taken as a whole under its various governments)",lemma
dezember,noun,December,lemma
dicht,adj,"thick, tight, dense",lemma
dick,adj,thick,lemma
die,article,feminine,form-of
dieb,noun,thief (male or of unspecified gender),lemma
diejenigen,pron,those,form-of
dienen,verb,to serve,lemma
dienstag,noun,Tuesday,lemma
dieser,pron,"this one, this",lemma
diesmal,adv,this time,lemma
ding,noun,thing,lemma
direkt,adj,"direct, straight, without deviation or interruption",lemma
diskussion,noun,"discussion, debate",lemma
diskutieren,verb,to discuss,lemma
diät,noun,diet,lemma
doch,adv,after all; yet; however; nevertheless,lemma
doktor,noun,doctor,lemma
dokument,noun,document,lemma
dollar,noun,dollar,lemma
donnerstag,noun,Thursday,lemma
doppelt,adj,double (made up of two matching or complementary elements),lemma
dorf,noun,village (rural habitation of size between a hamlet and a town),lemma
dort,adv,"there, yonder",lemma
dorthin,adv,"there (to that place), thither",lemma
drachen,noun,kite; hang glider (any gliding construction of poles and fabric),lemma
dran,adv,alternative form of daran,lemma
drauf,adv,alternative form of darauf,lemma
draußen,adv,outside,lemma
drehen,verb,to turn,lemma
drei,noun,three (digit/figure 3),lemma
dreimal,adv,"thrice, three times",lemma
dreizehn,noun,thirteen (number),lemma
dreißig,noun,thirty (number),lemma
drin,adv,inside,lemma
dringend,adj,urgent,lemma
drinnen,adv,inside (a room),lemma
dritte,adj,third,lemma
drittel,noun,third,lemma
drogen,noun,drugs,lemma
druck,noun,pressure,lemma
drüben,adv,over (implying some distance from the listener),lemma
drücken,verb,"to press, to push (a button/key; a finger or other object against something)",lemma
du,pron,"you (singular familiar), thou",lemma
duft,noun,"aroma, fragrance",lemma
dumm,adj,"dumb, stupid",lemma
dummheit,noun,stupidity,lemma
dummkopf,noun,"airhead, birdbrain, bubblehead, feather-brain, featherhead, jingle-brains, lamebrain, peabrain, pinhead",lemma
dunkel,adj,dark,lemma
dunkelheit,noun,darkness,lemma
dunkeln,verb,to darken,lemma
dunkle,verb,to darken,form-of
durch,adj,"crazy, freaked out",lemma
durchaus,adv,"absolutely, fully, entirely",lemma
durcheinander,adj,"disordered, confused",lemma
durst,noun,thirst,lemma
durstig,adj,thirsty,lemma
dusch,verb,to shower,form-of
dünn,adj,"thin, slender, slim",lemma
dürfen,verb,to be allowed (to do something); to be permitted (to do something); may,lemma
eben,adj,"flat, smooth, even (of a surface)",lemma
ebenfalls,adv,"also, likewise, as well",lemma
ebenso,adv,"equally, as much",lemma
echt,adj,"authentic, genuine, true",lemma
ecke,noun,"corner, edge",lemma
egal,adj,"all the same, unimportant",lemma
eh,adv,"anyway, in any case",lemma
ehe,conj,"before, ere",lemma
ehefrau,noun,"married woman, wife",lemma
ehemann,noun,"married man, husband",lemma
eher,adv,rather,lemma
ehr,noun,alternative form of Ehre,lemma
ehrlich,adj,"honest, truthful, true",lemma
ehrlichkeit,noun,honesty,lemma
ei,noun,egg (all biological senses),lemma
eichhörnchen,noun,"squirrel (in the narrow sense, Sciurus vulgaris)",lemma
eier,verb,to wobble (of a wheel),form-of
eifersüchtig,adj,jealous,lemma
eigen,adj,"own, peculiar or private to someone, idiosyncratic, proper or proprietary",lemma
eigentlich,adj,"actual, real, proper (as opposed to something secondary serving as a distraction or impostor)",lemma
eignen,verb,"to suit, to be apt for",lemma
eile,noun,hurry,lemma
eilig,adj,"speedy, hasty",lemma
eimer,noun,"bucket, pail",lemma
ein,adj,on,lemma
einander,pron,Reciprocal pronoun of all three plural persons: each other,lemma
eindruck,noun,impression,lemma
einfach,adj,easy,lemma
einfluss,noun,"inflow, influx",lemma
eingang,noun,entrance (doorway or passageway into a building or other enclosed space),lemma
eingestellt,adj,adjusted,lemma
einig,adj,united,lemma
einkaufen,verb,to shop,lemma
einkommen,verb,to come in (in a ranking),lemma
einladen,verb,to invite (to ask someone to come),lemma
einladung,noun,invitation,lemma
einmal,adv,"once, one time (one and only one time)",lemma
einsam,adj,"lonely, lone",lemma
einsamkeit,noun,loneliness,lemma
einschlafen,verb,to fall asleep,lemma
einst,adv,"once, formerly (a long time ago)",lemma
einstellen,verb,to hire (to add someone to a position of employment),lemma
einverstanden,adj,"in agreement, agreeing",lemma
einzelheit,noun,detail,lemma
einzeln,adj,single; lone,lemma
einzig,adj,"only, sole",lemma
eis,noun,ice,lemma
elefant,noun,elephant,lemma
elend,adj,miserable,lemma
elf,noun,eleven,lemma
elke,name,"a diminutive of the female given name Adelheid, from Low German or West Frisian, popular in the mid-twentieth century",lemma
eltern,noun,parents,lemma
empfang,noun,"receipt, acceptance, welcome (act of receiving someone or something)",lemma
empfehlen,verb,"to propose, to advise in favor of",lemma
end,verb,to end,form-of
ende,noun,"end, finish",lemma
enden,verb,to end,lemma
endlich,adj,"finite, limited",lemma
energie,noun,energy,lemma
eng,adj,"narrow, tight",lemma
engel,noun,angel,lemma
england,name,England (a constituent country of the United Kingdom),lemma
englisch,adj,English,lemma
engländer,noun,"an English person (male or of unspecified gender), an Englander; an Englishman",lemma
enkel,noun,ankle,lemma
entdecken,verb,"to discover, to spot, to learn for the first time",lemma
entfernen,verb,to remove,lemma
entfernung,noun,distance,lemma
entgegen,adv,against,lemma
enthalt,verb,"to contain, comprise, include",form-of
