form,lemma,source,pos
gedanke,gedanke,kaikki-headword,noun
leg,legen,kaikki-form-of,verb
höhe,höhe,kaikki-headword,noun
hörten,hören,kaikki-form-of,verb
klüger,klug,kaikki-form-of,adj
fühlst,fühlen,kaikki-form-of,verb
ähnelt,ähneln,kaikki-form-of,verb
begangen,begehen,kaikki-form-of,verb
mitarbeiter,mitarbeiter,kaikki-headword,noun
schönsten,schön,kaikki-form-of,adj
aufzuhören,aufhören,kaikki-form-of,verb
hilfst,helfen,kaikki-form-of,verb
affen,affe,kaikki-form-of,noun
wohnte,wohnen,kaikki-form-of,verb
aufgefallen,auffallen,kaikki-form-of,verb
geheimnisse,geheimnis,kaikki-form-of,noun
aufzustehen,aufstehen,kaikki-form-of,verb
spielten,spielen,kaikki-form-of,verb
kurs,kurs,kaikki-headword,noun
trägst,tragen,kaikki-form-of,verb
endet,enden,kaikki-form-of,verb
schickte,schicken,kaikki-form-of,verb
verkehr,verkehren,kaikki-form-of,noun;verb
angelogen,anlügen,kaikki-form-of,verb
gestrichen,streichen,kaikki-form-of,verb
zurückgekommen,zurückkommen,kaikki-form-of,verb
größere,groß,kaikki-form-of,adj
lebten,leben,kaikki-form-of,verb
gesamte,gesamt,kaikki-form-of,adj
verliebte,verlieben,kaikki-form-of,verb
ratschläge,ratschlag,kaikki-form-of,noun
städte,stadt,kaikki-form-of,noun
zurückgekehrt,zurückkehren,kaikki-form-of,verb
betrogen,betrügen,kaikki-form-of,verb
hol,holen,kaikki-form-of,verb
bauern,bauer,kaikki-form-of,noun
erreichte,erreichen,kaikki-form-of,verb
frisst,fressen,kaikki-form-of,verb
nackt,nackt,kaikki-headword,adj
beträgt,betragen,kaikki-form-of,verb
teurer,teuer,kaikki-form-of,adj
jenes,jener,kaikki-form-of,pron
versteckte,verstecken,kaikki-form-of,verb
abgenommen,abnehmen,kaikki-form-of,verb
erschien,erscheinen,kaikki-form-of,verb
blieben,bleiben,kaikki-form-of,verb
dachten,denken,kaikki-form-of,verb
armee,armee,kaikki-headword,noun
wiederzusehen,wiedersehen,kaikki-form-of,verb
ausgegeben,ausgeben,kaikki-form-of,verb
wäscht,waschen,kaikki-form-of,verb
vergaß,vergessen,kaikki-form-of,verb
mußte,müssen,kaikki-form-of,verb
nirgends,nirgends,kaikki-headword,adv
ursache,ursache,kaikki-headword,noun
konntest,können,kaikki-form-of,verb
süden,süden,kaikki-headword,noun
ließen,lassen,kaikki-form-of,verb
reist,reisen,kaikki-form-of,verb
betrifft,betreffen,kaikki-form-of,verb
kater,kater,kaikki-headword,noun
schreib,schreiben,kaikki-form-of,verb
lehnte,lehnen,kaikki-form-of,verb
büchern,buch,kaikki-form-of,noun
